system	feature	average_classification_model_based	SESOI_classification_model_based	shape_classification_model_based	CR2_status	CR2_evidence_complete	CR2_utterances_multiple_matches	CR2_proportion_utterances_multiple_matches	CR2_maximum_matches_per_utterance	CR2_match_clusters_independent_partitions	CR2_estimates_produced	average_classification_CR2	SESOI_classification_CR2	shape_classification_CR2	time_resolved_classification_changes	average_classification_changed	shape_classification_changed	SESOI_classification_changed	sensitivity_only
A10	centroid	SIGNIFICANT_NEGATIVE	EQUIVALENT	NOT_SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3078	0.811494858950699	26	FALSE	FALSE								TRUE
A10	cpps	NOT_SIGNIFICANT	EQUIVALENT	NOT_SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	364	0.280647648419429	7	FALSE	FALSE								TRUE
A10	energy	NOT_SIGNIFICANT	EQUIVALENT	NOT_SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3078	0.811494858950699	26	FALSE	FALSE								TRUE
A10	flatness	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3088	0.810073452256034	26	FALSE	FALSE								TRUE
A10	flux	SIGNIFICANT_NEGATIVE	EQUIVALENT	NOT_SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3078	0.811494858950699	26	FALSE	FALSE								TRUE
A10	tilt	NOT_SIGNIFICANT	EQUIVALENT	NOT_SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3078	0.811494858950699	26	FALSE	FALSE								TRUE
A11	centroid	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3013	0.803895410885806	26	FALSE	FALSE								TRUE
A11	cpps	NOT_SIGNIFICANT	EQUIVALENT	NOT_SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	377	0.289777094542659	7	FALSE	FALSE								TRUE
A11	energy	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3013	0.803895410885806	26	FALSE	FALSE								TRUE
A11	flatness	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3039	0.807171314741036	26	FALSE	FALSE								TRUE
A11	flux	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3013	0.803895410885806	26	FALSE	FALSE								TRUE
A11	tilt	NOT_SIGNIFICANT	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3013	0.803895410885806	26	FALSE	FALSE								TRUE
A12	centroid	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3180	0.828340713727533	26	FALSE	FALSE								TRUE
A12	cpps	NOT_SIGNIFICANT	EQUIVALENT	NOT_SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	373	0.284950343773873	7	FALSE	FALSE								TRUE
A12	energy	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3180	0.828340713727533	26	FALSE	FALSE								TRUE
A12	flatness	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3178	0.827604166666667	26	FALSE	FALSE								TRUE
A12	flux	NOT_SIGNIFICANT	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3180	0.828340713727533	26	FALSE	FALSE								TRUE
A12	tilt	NOT_SIGNIFICANT	EQUIVALENT	NOT_SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3180	0.828340713727533	26	FALSE	FALSE								TRUE
