model_id	system	feature	fixed_columns	fixed_rank	fixed_full_rank	fixed_condition_number	final_singular	converged	final_random_structure	curve_covariance_PSD	CR2_status	CR2_cluster	CR2_type	CR2_applicable	CR2_evidence_complete	CR2_unique_utterances	CR2_utterances_multiple_matches	CR2_proportion_utterances_multiple_matches	CR2_maximum_matches_per_utterance	CR2_match_clusters_independent_partitions	CR2_estimates_produced	CR2_rows	CR2_columns	CR2_covariance_finite	CR2_covariance_min_eigen	CR2_success	CR2_authorized_outcome	all_acceptance_gates_pass	warnings
A03_cpps	A03	cpps	372	372	TRUE	114853.628473999	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	1437	454	0.315935977731385	8	FALSE	FALSE					FALSE	TRUE	TRUE	
A03_energy	A03	energy	1139	1139	TRUE	1496534.84439055	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4095	3134	0.765323565323565	28	FALSE	FALSE					FALSE	TRUE	TRUE	
A03_flatness	A03	flatness	1139	1139	TRUE	1496251.84968731	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4105	3149	0.767113276492083	32	FALSE	FALSE					FALSE	TRUE	TRUE	
A03_flux	A03	flux	1139	1139	TRUE	1496608.6799744	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4095	3134	0.765323565323565	28	FALSE	FALSE					FALSE	TRUE	TRUE	
A03_tilt	A03	tilt	1139	1139	TRUE	1496534.84439055	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4095	3134	0.765323565323565	28	FALSE	FALSE					FALSE	TRUE	TRUE	
A04_centroid	A04	centroid	1126	1126	TRUE	1467378.5800629	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4266	3363	0.788326300984529	28	FALSE	FALSE					FALSE	TRUE	TRUE	
A04_cpps	A04	cpps	367	367	TRUE	110479.625010124	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	1444	455	0.315096952908587	8	FALSE	FALSE					FALSE	TRUE	TRUE	
A04_energy	A04	energy	1126	1126	TRUE	1467378.5800629	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4266	3363	0.788326300984529	28	FALSE	FALSE					FALSE	TRUE	TRUE	
A04_flatness	A04	flatness	1126	1126	TRUE	1467369.81083611	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4269	3364	0.788006558913094	28	FALSE	FALSE					FALSE	TRUE	TRUE	
A04_flux	A04	flux	1126	1126	TRUE	1467452.1113629	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4266	3363	0.788326300984529	28	FALSE	FALSE					FALSE	TRUE	TRUE	
A04_tilt	A04	tilt	1126	1126	TRUE	1467378.5800629	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4266	3363	0.788326300984529	28	FALSE	FALSE					FALSE	TRUE	TRUE	
A07_centroid	A07	centroid	1082	1082	TRUE	1073844.12335171	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3867	3191	0.8251874838376	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A07_cpps	A07	cpps	318	318	TRUE	48391.8749670359	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	1274	366	0.287284144427002	7	FALSE	FALSE					FALSE	TRUE	TRUE	
A07_energy	A07	energy	1082	1082	TRUE	1073844.12335171	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3867	3191	0.8251874838376	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A07_flatness	A07	flatness	1082	1082	TRUE	1073845.11614548	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3868	3192	0.825232678386763	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A07_flux	A07	flux	1082	1082	TRUE	1073895.32173269	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3867	3191	0.8251874838376	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A07_tilt	A07	tilt	1082	1082	TRUE	1073844.12335171	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3867	3191	0.8251874838376	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A08_centroid	A08	centroid	1072	1072	TRUE	1076082.55460838	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3653	2893	0.791951820421571	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A08_cpps	A08	cpps	308	308	TRUE	46788.7419506834	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	1247	351	0.281475541299118	7	FALSE	FALSE					FALSE	TRUE	TRUE	
A08_energy	A08	energy	1072	1072	TRUE	1076082.55460838	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3653	2893	0.791951820421571	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A08_flatness	A08	flatness	1072	1072	TRUE	1076053.02878219	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3665	2906	0.792905866302865	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A08_flux	A08	flux	1072	1072	TRUE	1076134.50981125	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3653	2893	0.791951820421571	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A08_tilt	A08	tilt	1072	1072	TRUE	1076082.55460838	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3653	2893	0.791951820421571	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A09_centroid	A09	centroid	1082	1082	TRUE	1103442.84672212	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3816	3141	0.82311320754717	25	FALSE	FALSE					FALSE	TRUE	TRUE	
A09_cpps	A09	cpps	297	297	TRUE	74811.3915065244	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	1263	317	0.250989707046714	7	FALSE	FALSE					FALSE	TRUE	TRUE	
A09_energy	A09	energy	1082	1082	TRUE	1103442.84672212	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3816	3141	0.82311320754717	25	FALSE	FALSE					FALSE	TRUE	TRUE	
A09_flatness	A09	flatness	1082	1082	TRUE	1103482.68283846	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3815	3138	0.822542595019659	25	FALSE	FALSE					FALSE	TRUE	TRUE	
A09_flux	A09	flux	1082	1082	TRUE	1103495.52138574	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3816	3141	0.82311320754717	25	FALSE	FALSE					FALSE	TRUE	TRUE	
A09_tilt	A09	tilt	1082	1082	TRUE	1103442.84672212	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3816	3141	0.82311320754717	25	FALSE	FALSE					FALSE	TRUE	TRUE	
A10_centroid	A10	centroid	1074	1074	TRUE	1074235.91485971	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3793	3078	0.811494858950699	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A10_cpps	A10	cpps	314	314	TRUE	29188.9981062218	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	1297	364	0.280647648419429	7	FALSE	FALSE					FALSE	TRUE	TRUE	
A10_energy	A10	energy	1074	1074	TRUE	1074235.91485971	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3793	3078	0.811494858950699	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A10_flatness	A10	flatness	1074	1074	TRUE	1074324.91851094	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3812	3088	0.810073452256034	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A10_flux	A10	flux	1074	1074	TRUE	1074287.65829689	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3793	3078	0.811494858950699	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A10_tilt	A10	tilt	1074	1074	TRUE	1074235.91485971	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3793	3078	0.811494858950699	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A11_centroid	A11	centroid	1077	1077	TRUE	1131221.99662129	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3748	3013	0.803895410885806	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A11_cpps	A11	cpps	316	316	TRUE	29292.829279505	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	1301	377	0.289777094542659	7	FALSE	FALSE					FALSE	TRUE	TRUE	
A11_energy	A11	energy	1077	1077	TRUE	1131221.99662129	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3748	3013	0.803895410885806	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A11_flatness	A11	flatness	1077	1077	TRUE	1131014.85860468	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3765	3039	0.807171314741036	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A11_flux	A11	flux	1077	1077	TRUE	1131278.86868236	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3748	3013	0.803895410885806	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A11_tilt	A11	tilt	1077	1077	TRUE	1131221.99662129	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3748	3013	0.803895410885806	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A12_centroid	A12	centroid	1079	1079	TRUE	1121059.37345619	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3839	3180	0.828340713727533	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A12_cpps	A12	cpps	319	319	TRUE	27923.676680576	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	1309	373	0.284950343773873	7	FALSE	FALSE					FALSE	TRUE	TRUE	
A12_energy	A12	energy	1079	1079	TRUE	1121059.37345619	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3839	3180	0.828340713727533	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A12_flatness	A12	flatness	1079	1079	TRUE	1121101.42649557	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3840	3178	0.827604166666667	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A12_flux	A12	flux	1079	1079	TRUE	1121115.54213063	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3839	3180	0.828340713727533	26	FALSE	FALSE					FALSE	TRUE	TRUE	
A12_tilt	A12	tilt	1079	1079	TRUE	1121059.37345619	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	3839	3180	0.828340713727533	26	FALSE	FALSE					FALSE	TRUE	TRUE	
