system	feature	model_file	accepted_random_structure	source_path	sha256
A04	centroid	models/A04_centroid.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A04_centroid.rds	80625ba82a4163d9dcdbe8e9a30d6e8b54f316b61fea24c131c88df098e3c071
A04	cpps	models/A04_cpps.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A04_cpps.rds	2604cafaaa01f23e671d8d9ed447ae9ffdde2d0835a03998990ff1d8052efd3d
A04	energy	models/A04_energy.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A04_energy.rds	6cdb186da0424c89914b716e3905e2e66b4032034ba3e899a5ec77f1bd39345b
A04	flatness	models/A04_flatness.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A04_flatness.rds	623e16726c929bc6f9d675a6f1f8c3ede4dfc2cde30ebf981ec4fbec0d7d0af8
A04	flux	models/A04_flux.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A04_flux.rds	8a39900f8d448e3e862cd020c5191cc4425811f48270aad379f244293838d908
A04	tilt	models/A04_tilt.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A04_tilt.rds	fdb4f24d4472513c7387ef041b07f143544ba2d75f8e319c124147ce7093c94a
A07	centroid	models/A07_centroid.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A07_centroid.rds	5cfee5a497f3fe66e3a6132db985ce50f36bc48e4dd10ae62926568267dff717
A07	cpps	models/A07_cpps.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A07_cpps.rds	3fbcd2f07d5de1dd5724fd69d17a98c36c4ea16af691ee3036633465ad3f072c
A07	energy	models/A07_energy.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A07_energy.rds	049c326a4c0ec09d959ebc3d8cd1531390089240ee0b0d59116ce5d44bdac954
A07	flatness	models/A07_flatness.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A07_flatness.rds	6f55cd758dfd43a8b3c1be125ed194a5fc5fd3caa0c7d448cbe32040fbfc386c
A07	flux	models/A07_flux.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A07_flux.rds	bac0ce53453951ac26cb920b88e94b52ab0882e3ec94743c41263257dccf665c
A07	tilt	models/A07_tilt.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A07_tilt.rds	40b1b0fee478c2e7a880f418912b0eecc78ff4b894481ee209bd2cea4a15e5fd
A08	centroid	models/A08_centroid.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A08_centroid.rds	bebddaba1ab6e6b45e88bcccb94254a816a2b1c95a3fe44bc1ce576311051637
A08	cpps	models/A08_cpps.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A08_cpps.rds	d3df1e12200c4e84ecd99ccc6a2cb3140eb07bf9773475f8bbc16aa081cb5e0c
A08	energy	models/A08_energy.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A08_energy.rds	cbc885c914a45828058112711cdc79ad52b819e45e3c54a367bde40962156925
A08	flatness	models/A08_flatness.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A08_flatness.rds	33bb3095860dfc93b2118b0477e0526cabbb3785edde1e8417cdbf542e2cf5c6
A08	flux	models/A08_flux.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A08_flux.rds	ff4ba556bf85b7abefe360d994bb364b305ebf384a9fc2e55c5bccbf4b340a03
A08	tilt	models/A08_tilt.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A08_tilt.rds	9256571a7d89058063ebd33f5cb0717328add62e34208e03b16597cac6e482d5
A09	centroid	models/A09_centroid.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A09_centroid.rds	d946e3b69410468c6741660db0e1c36ad630853b30a6ec7fcc6175571aa3349a
A09	cpps	models/A09_cpps.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A09_cpps.rds	922a69147940d0dba0bc0d336cff7115188eba1207f911d09f9ae7ae4eaf1f0e
A09	energy	models/A09_energy.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A09_energy.rds	de172f9ad823fa8d1e3c2dcf31d510f8be4e795e701f0015e74719a614eba0d8
A09	flatness	models/A09_flatness.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A09_flatness.rds	17f4e5da8fc4371570f57fc3a0b5be4f56959b5810e4a3f2b62bd571973cfb4f
A09	flux	models/A09_flux.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A09_flux.rds	3cd100fd32dc780352032f2cb2aa180fdafb4545ec83142eb5fce063e17c4b5a
A09	tilt	models/A09_tilt.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A09_tilt.rds	6d1bd2057a4068c496f5c03a3faa53789369ae7b3c3f2e6b8969030de0cfb179
A10	centroid	models/A10_centroid.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A10_centroid.rds	0dd36f626399a2716440ab72b8a6fad7357648f1f088aff30484bf49f3d47939
A10	cpps	models/A10_cpps.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A10_cpps.rds	3d791c0921620a31182eecd2df3cbbc3e1424b8dcad4da2ed4212c7454def7df
A10	energy	models/A10_energy.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A10_energy.rds	195379a13b12f3973a57f5062002cd83f6b5f36dc25356643b45abaf620f6530
A10	flatness	models/A10_flatness.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A10_flatness.rds	5083779d2b5b5b727a584b2aff47dcef96e515e539386276c6b14b9d3f5cf025
A10	flux	models/A10_flux.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A10_flux.rds	27126e4df5171837a09121bdc4ee7433f703b04c4a76c5f4471eaf555f93b08f
A10	tilt	models/A10_tilt.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A10_tilt.rds	7a19378a5ee07b0b95302f0ab63b343ba3eff38b19163d8b8e822f00931a2777
A11	centroid	models/A11_centroid.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A11_centroid.rds	38df57b48f5f783cfb617a57922b9336d10f80d7da9d392d53f646e2d7ccde1f
A11	cpps	models/A11_cpps.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A11_cpps.rds	5099e19529db43b53213fee70a36c9f77aad5c07380570c4fd998ca7c462c0e0
A11	energy	models/A11_energy.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A11_energy.rds	b0104842282569c70ef981fe3f3c681cc566ea81f766f4fe37dc4341580eca48
A11	flatness	models/A11_flatness.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A11_flatness.rds	1f426bf7d0756863668926670900560ab9b605ac2a31f4739de557e069dc9516
A11	flux	models/A11_flux.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A11_flux.rds	23ad69f7388937f5e0f7ae5fedc65d0d9d9605f07a0dfdbd083af5f990b1e202
A11	tilt	models/A11_tilt.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A11_tilt.rds	a787a9b43ccf2848d28f8a4623eb90b63f5cf959c9384bf27f17ddb7b818083b
A12	centroid	models/A12_centroid.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A12_centroid.rds	22fa67ef567ec5f531596d0d1fe18ef478cd003b89dff286a66c4b58eb0df86e
A12	cpps	models/A12_cpps.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A12_cpps.rds	f2da24e8de10233ba80744efffd88e106e487555ff9d51099152ade61fa50a40
A12	energy	models/A12_energy.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A12_energy.rds	89f96be09e2232319278e3e4c84cccad5af766f8c3491e4def9b63a42a94b024
A12	flatness	models/A12_flatness.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A12_flatness.rds	ff2e0cbbc53b0f72bb4bad57597793f732999b6765a158359d60d9b0dc4d8d1d
A12	flux	models/A12_flux.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A12_flux.rds	455a7638b7d1167a37e707d893c38ce7654991a7829b1293e689695113477ad4
A12	tilt	models/A12_tilt.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A12_tilt.rds	53ca67b097e8eb5b89b6cb91a743fad062d53247cb746dacf92c80ce1a542cbe
